class_index,species
0,Alocasia amazonica
1,Aloe vera
2,Anthurium andraeanum
3,Asplenium nidus
4,Chlorophytum comosum
5,Codiaeum variegatum
6,Crassula ovata
7,Dieffenbachia seguine
8,Dypsis lutescens
9,Epipremnum aureum
10,Ficus benjamina
11,Ficus elastica
12,Hedera helix
13,Hoya carnosa
14,Monstera deliciosa
15,Pachira aquatica
16,Peperomia obtusifolia
17,Philodendron hederaceum
18,Sansevieria trifasciata
19,Schefflera arboricola
20,Spathiphyllum wallisii
21,Tradescantia zebrina
22,Yucca elephantipes
